user_id,conversation_count,message_count
685d7c2c804779022247f880,17,145
685d7ca7804779022247f8b6,13,77
685d7bc3804779022247f853,4,23
685d7a6eca470babebe42fd6,11,18
685d7acaca470babebe42ffb,2,14
685d7c6c804779022247f89b,1,8
685d7c41804779022247f889,2,8
685d7cd8804779022247f8c8,2,7
685d7c53804779022247f892,4,6
685d7ce8804779022247f8d1,1,5
685d7cb9804779022247f8bf,1,4
685d7c95804779022247f8ad,1,4
685d7c01804779022247f86e,1,3
685d7d01804779022247f8da,1,2
685d7d26804779022247f8ec,1,1
685d7aa4ca470babebe42fe9,0,0
685d7c83804779022247f8a4,0,0
685d7bd9804779022247f85c,0,0
685d66a95fb7448e88e98470,0,0
685d7ab9ca470babebe42ff2,0,0
685d7c13804779022247f877,0,0
685d7a8aca470babebe42fe0,0,0
685d7d15804779022247f8e3,0,0
685d7bee804779022247f865,0,0
